"","Crime Type","Occurrence"
"1","BATTERY",222
"2","THEFT",206
"3","CRIMINAL DAMAGE",169
"4","OTHER OFFENSE",120
"5","MOTOR VEHICLE THEFT",101
"6","ASSAULT",83
"7","BURGLARY",82
"8","NARCOTICS",55
"9","DECEPTIVE PRACTICE",53
"10","ROBBERY",41
"11","WEAPONS VIOLATION",22
"12","CRIMINAL TRESPASS",17
"13","OFFENSE INVOLVING CHILDREN",14
"14","CRIM SEXUAL ASSAULT",9
"15","ARSON",8
"16","PUBLIC PEACE VIOLATION",8
"17","HOMICIDE",5
"18","SEX OFFENSE",5
"19","INTERFERENCE WITH PUBLIC OFFICER",3
"20","NON-CRIMINAL",2
"21","LIQUOR LAW VIOLATION",1
"22","OBSCENITY",1
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","GAMBLING",0
"25","HUMAN TRAFFICKING",0
"26","INTIMIDATION",0
"27","KIDNAPPING",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
